LEMMA,FREQUENCY,f/M,LOG F/M,,
ξεπλένω,7,5.17,1.71,Loading...,
ξέφωτο,7,5.17,1.71,Loading...,
ξημέρωμα,7,5.17,1.71,Loading...,
ξοπίσω,7,5.17,1.71,Loading...,
ξυλογλυπτική,7,5.17,1.71,Loading...,
ξύπνιος,7,5.17,1.71,Loading...,
ογκώδης,7,5.17,1.71,Loading...,
οδόστρωμα,7,5.17,1.71,дорожное покрытие,
οδυνηρός,7,5.17,1.71,Loading...,
οικοδομώ,7,5.17,1.71,Loading...,
οινοπνευματώδης,7,5.17,1.71,Loading...,
οιωνός,7,5.17,1.71,Loading...,
οκά,7,5.17,1.71,Loading...,
ολότελα,7,5.17,1.71,полностью,
ομοιοκαταληκτώ,7,5.17,1.71,Loading...,
ομότιτλος,7,5.17,1.71,Loading...,
ομοφωνία,7,5.17,1.71,Loading...,
ομόφωνος,7,5.17,1.71,Loading...,
όμποε,7,5.17,1.71,Loading...,
οπλίτης,7,5.17,1.71,Loading...,
ορεσίβιος,7,5.17,1.71,Loading...,
όρμος,7,5.17,1.71,Loading...,
ουγκάντα,7,5.17,1.71,Loading...,
οχτακόσιος,7,5.17,1.71,Loading...,
παγασητικός,7,5.17,1.71,Loading...,
παλαιστής,7,5.17,1.71,Loading...,
παναθηναικός,7,5.17,1.71,Loading...,
πανιώνιος,7,5.17,1.71,Loading...,
παντόφλα,7,5.17,1.71,Loading...,
παξιμάδι,7,5.17,1.71,орех,
παραδουνάβιος,7,5.17,1.71,Loading...,
παρακεί,7,5.17,1.71,Loading...,
παρατηρητής,7,5.17,1.71,наблюдатель,
παρδαλός,7,5.17,1.71,Loading...,
παρθένα,7,5.17,1.71,Loading...,
παρόλα,7,5.17,1.71,Loading...,
πασίγνωστος,7,5.17,1.71,Loading...,
πασούμι,7,5.17,1.71,пассуми,
πασπαρτού,7,5.17,1.71,Loading...,
παστέλ,7,5.17,1.71,Loading...,
πατήσια,7,5.17,1.71,Loading...,
παχουλός,7,5.17,1.71,Loading...,
πεζογραφία,7,5.17,1.71,Loading...,
πειθαρχώ,7,5.17,1.71,Loading...,
πειραχτήρι,7,5.17,1.71,Loading...,
πένθος,7,5.17,1.71,Loading...,
πεντάγωνο,7,5.17,1.71,Loading...,
πένταθλο,7,5.17,1.71,Loading...,
περαιτέρω,7,5.17,1.71,Loading...,
πέραση,7,5.17,1.71,Loading...,
περιπετειώδης,7,5.17,1.71,Loading...,
περιφρόνηση,7,5.17,1.71,Loading...,
πιθαμή,7,5.17,1.71,Loading...,
πλακέτα,7,5.17,1.71,Loading...,
πληροφοριακός,7,5.17,1.71,Loading...,
πλοκή,7,5.17,1.71,Loading...,
ποδηλασία,7,5.17,1.71,Loading...,
πολυβόλο,7,5.17,1.71,Loading...,
πολυφωνικός,7,5.17,1.71,Loading...,
πονηριά,7,5.17,1.71,Loading...,
πονόλαιμος,7,5.17,1.71,Loading...,
πόστερ,7,5.17,1.71,Loading...,
πουπουλένιος,7,5.17,1.71,Loading...,
πραξικόπημα,7,5.17,1.71,Loading...,
πρεσβεία,7,5.17,1.71,Loading...,
πριγκίπισσα,7,5.17,1.71,Loading...,
προάστιο,7,5.17,1.71,Loading...,
προβλήτα,7,5.17,1.71,Loading...,
προθήκη,7,5.17,1.71,витрина,
πρόνοια,7,5.17,1.71,Loading...,
πρόσκαιρος,7,5.17,1.71,Loading...,
προσχωσιγενής,7,5.17,1.71,Loading...,
προσωπίδα,7,5.17,1.71,Loading...,
προτομή,7,5.17,1.71,Loading...,
προτροπή,7,5.17,1.71,Loading...,
πτυχή,7,5.17,1.71,Loading...,
πυγμάχος,7,5.17,1.71,Loading...,
πυρομαχικά,7,5.17,1.71,Loading...,
πυρώνω,7,5.17,1.71,Loading...,
ραδιενέργεια,7,5.17,1.71,Loading...,
ραφτόπουλο,7,5.17,1.71,Loading...,
ρευστός,7,5.17,1.71,Loading...,
ρεφρέν,7,5.17,1.71,Loading...,
ρολογάς,7,5.17,1.71,Loading...,
ρωμυλία,7,5.17,1.71,Loading...,
σάνταλο,7,5.17,1.71,Loading...,
σάντουιτς,7,5.17,1.71,сэндвич,
σαούλ,7,5.17,1.71,Loading...,
σαρδέλα,7,5.17,1.71,сардина,
σάρκα,7,5.17,1.71,Loading...,
σατιρίζω,7,5.17,1.71,Loading...,
σεΐχης,7,5.17,1.71,Loading...,
σεντούκι,7,5.17,1.71,Loading...,
σεπτός,7,5.17,1.71,Loading...,
σερ,7,5.17,1.71,Loading...,
σέριφος,7,5.17,1.71,Loading...,
σιγοτραγουδώ,7,5.17,1.71,Loading...,
σιμά,7,5.17,1.71,Loading...,
σιτάρ,7,5.17,1.71,Loading...,
σκι,7,5.17,1.71,Loading...,
σκιστός,7,5.17,1.71,разорванный,
σκουπόξυλο,7,5.17,1.71,Loading...,
σμαρώ,7,5.17,1.71,Loading...,
σοκάκι,7,5.17,1.71,Loading...,
σουσάμι,7,5.17,1.71,Loading...,
σπαρταρώ,7,5.17,1.71,Loading...,
σπέτσες,7,5.17,1.71,Loading...,
σπλαγχνικός,7,5.17,1.71,Loading...,
σπλαχνίζομαι,7,5.17,1.71,Loading...,
σποράδες,7,5.17,1.71,Loading...,
στάθης,7,5.17,1.71,Loading...,
στάλα,7,5.17,1.71,Loading...,
στεγνός,7,5.17,1.71,Loading...,
στούντιο,7,5.17,1.71,Loading...,
στρατιά,7,5.17,1.71,Loading...,
συλλυπητήρια,7,5.17,1.71,Loading...,
συμβατικός,7,5.17,1.71,Loading...,
συμβουλευτικός,7,5.17,1.71,Loading...,
συμεών,7,5.17,1.71,Loading...,
συμπαγής,7,5.17,1.71,Loading...,
συμπληρωματικός,7,5.17,1.71,Loading...,
συμπύκνωση,7,5.17,1.71,конденсация,
συναδέλφωση,7,5.17,1.71,Loading...,
σύνεση,7,5.17,1.71,Loading...,
συντεχνία,7,5.17,1.71,гильдия,
συνώνυμο,7,5.17,1.71,Loading...,
σύριγγα,7,5.17,1.71,Loading...,
συχνάζω,7,5.17,1.71,Loading...,
σφακιά,7,5.17,1.71,Loading...,
σφήκα,7,5.17,1.71,оса,
σφηνώνω,7,5.17,1.71,Loading...,
σχεδίαση,7,5.17,1.71,планирование,
σωληνάριο,7,5.17,1.71,Loading...,
ταίναρο,7,5.17,1.71,Loading...,
τακούνι,7,5.17,1.71,Loading...,
ταναγραία,7,5.17,1.71,Loading...,
ταξινόμηση,7,5.17,1.71,Loading...,
ταΰγετος,7,5.17,1.71,Тайгет,
τεκμήριο,7,5.17,1.71,Loading...,
τενεκεδένιος,7,5.17,1.71,Loading...,
τιτανομαχία,7,5.17,1.71,Loading...,
τοµ,7,5.17,1.71,Loading...,
τομ,7,5.17,1.71,Loading...,
τουρκοαιγυπτιακός,7,5.17,1.71,Loading...,
τραγουδίστρια,7,5.17,1.71,Loading...,
τραπεζικός,7,5.17,1.71,Loading...,
τραπεζομάντιλο,7,5.17,1.71,Loading...,
τραχεία,7,5.17,1.71,Loading...,
τραχιά,7,5.17,1.71,Loading...,
τρέλα,7,5.17,1.71,Loading...,
τρισεκατομμύριο,7,5.17,1.71,Loading...,
τρομπόνι,7,5.17,1.71,Loading...,
τροπαιοφόρος,7,5.17,1.71,трофейный,
τροφοσυλλέκτης,7,5.17,1.71,Loading...,
τρύπιος,7,5.17,1.71,Loading...,
τσιμεντένιος,7,5.17,1.71,Loading...,
τσολιάς,7,5.17,1.71,Loading...,
τσουγκρίζω,7,5.17,1.71,Loading...,
τυφλώνω,7,5.17,1.71,Loading...,
υλοτομία,7,5.17,1.71,Loading...,
υπαίθριος,7,5.17,1.71,Loading...,
υπακοή,7,5.17,1.71,Loading...,
υπάκουος,7,5.17,1.71,Loading...,
υπερβολή,7,5.17,1.71,Loading...,
υπερηχογράφος,7,5.17,1.71,Loading...,
υπεροχή,7,5.17,1.71,превосходство,
υπερτερώ,7,5.17,1.71,Loading...,
υπερφυσικός,7,5.17,1.71,Loading...,
υπόκρουση,7,5.17,1.71,Loading...,
ύπουλος,7,5.17,1.71,Loading...,
φαίδων,7,5.17,1.71,фаэдон,
φάκα,7,5.17,1.71,Loading...,
φανταχτερός,7,5.17,1.71,Loading...,
φαρδιά,7,5.17,1.71,Loading...,
φαρμακείο,7,5.17,1.71,Loading...,
φιλειρηνικός,7,5.17,1.71,Loading...,
φιλμ,7,5.17,1.71,Loading...,
φιλόδοξος,7,5.17,1.71,Loading...,
φιλοκτήτης,7,5.17,1.71,Loading...,
φιλόλογος,7,5.17,1.71,Loading...,
φοίβος,7,5.17,1.71,Loading...,
φολίδα,7,5.17,1.71,Loading...,
φραγκοσυκιά,7,5.17,1.71,Loading...,
φρεάτιο,7,5.17,1.71,Loading...,
φρουτοσαλάτα,7,5.17,1.71,Loading...,
φτερουγάω,7,5.17,1.71,Loading...,
φυσαρμόνικα,7,5.17,1.71,Loading...,
φωνίτσα,7,5.17,1.71,Loading...,
φωνολογικός,7,5.17,1.71,Loading...,
φωταγωγώ,7,5.17,1.71,Loading...,
φώτιση,7,5.17,1.71,Просвещение,
χαμομήλι,7,5.17,1.71,ромашка,
χάντμπολ,7,5.17,1.71,Loading...,
χαρακτικός,7,5.17,1.71,Loading...,
χαρτονένιος,7,5.17,1.71,Loading...,
χαρτοπολτός,7,5.17,1.71,бумажная масса,
χειριστής,7,5.17,1.71,Loading...,
χειροποίητος,7,5.17,1.71,Loading...,
χειροτερεύω,7,5.17,1.71,Loading...,
χειρωνακτικός,7,5.17,1.71,Loading...,
χήρα,7,5.17,1.71,Loading...,
χιλιοστόμετρο,7,5.17,1.71,Loading...,
χιονοδρομικός,7,5.17,1.71,Loading...,
χλωροφύλλη,7,5.17,1.71,хлорофилл,
χρησιμοποίηση,7,5.17,1.71,Loading...,
χροιά,7,5.17,1.71,Loading...,
χρυσάνθεμο,7,5.17,1.71,хризантема,
χωνί,7,5.17,1.71,Loading...,
ψιλός,7,5.17,1.71,Loading...,
ψίχα,7,5.17,1.71,крошка,
ψυχοκινητική,7,5.17,1.71,Loading...,
ωδή,7,5.17,1.71,Loading...,
ωρωπός,7,5.17,1.71,Loading...,
αγγελούδι,6,4.43,1.65,Loading...,
αγήνορας,6,4.43,1.65,Loading...,
αγιά,6,4.43,1.65,Loading...,
άγνοια,6,4.43,1.65,Loading...,
αγριόχορτο,6,4.43,1.65,Loading...,
αγρυπνία,6,4.43,1.65,Loading...,
αδιάλλακτος,6,4.43,1.65,Loading...,
αδριανός,6,4.43,1.65,Loading...,
αερισμός,6,4.43,1.65,Loading...,
αήττητος,6,4.43,1.65,Loading...,
άηχος,6,4.43,1.65,Loading...,
αθροιστικός,6,4.43,1.65,Loading...,
αθωνίτης,6,4.43,1.65,Loading...,
αίγλη,6,4.43,1.65,Loading...,
αιγοπρόβατα,6,4.43,1.65,Loading...,
αϊνστάιν,6,4.43,1.65,Loading...,
αισθητήριο,6,4.43,1.65,Loading...,
άκακος,6,4.43,1.65,безвредный,
ακατόρθωτος,6,4.43,1.65,Loading...,
ακέραια,6,4.43,1.65,Loading...,
ακεραιότητα,6,4.43,1.65,Loading...,
ακινησία,6,4.43,1.65,Loading...,
ακοίμητος,6,4.43,1.65,Loading...,
ακουστική,6,4.43,1.65,акустика,
αλάσκα,6,4.43,1.65,Loading...,
αλέκος,6,4.43,1.65,Loading...,
αλόγα,6,4.43,1.65,Loading...,
αμαζόνα,6,4.43,1.65,Loading...,
αμηχανία,6,4.43,1.65,Loading...,
αμήχανος,6,4.43,1.65,Loading...,
αμμουδερός,6,4.43,1.65,Сэнди,
άμορφος,6,4.43,1.65,Loading...,
αμφιτρύωνας,6,4.43,1.65,Loading...,
αναμετρώ,6,4.43,1.65,Loading...,
ανανάς,6,4.43,1.65,Loading...,
ανανέωση,6,4.43,1.65,Loading...,
αναπολώ,6,4.43,1.65,Loading...,
ανασυγκρότηση,6,4.43,1.65,реконструкция,
ανέλπιστος,6,4.43,1.65,Loading...,
ανεμιστήρας,6,4.43,1.65,Loading...,
ανεύθυνος,6,4.43,1.65,Loading...,
ανθυγιεινός,6,4.43,1.65,Loading...,
ανταγωνίζομαι,6,4.43,1.65,Loading...,
ανταγωνιστής,6,4.43,1.65,Loading...,
ανταποδίδω,6,4.43,1.65,вернуть,
αντιστάρ,6,4.43,1.65,Loading...,
αντώνυμο,6,4.43,1.65,Loading...,
άξια,6,4.43,1.65,Loading...,
αοιδός,6,4.43,1.65,Loading...,
απάνεμος,6,4.43,1.65,Loading...,
απαράμιλλος,6,4.43,1.65,непревзойденный,
απάτη,6,4.43,1.65,мошенничество,
απιστία,6,4.43,1.65,Loading...,
αποβραδίς,6,4.43,1.65,Loading...,
απογειώνω,6,4.43,1.65,Loading...,
αποκαθήλωση,6,4.43,1.65,Loading...,
αποκεφαλισμός,6,4.43,1.65,Loading...,
αποκρύβω,6,4.43,1.65,Loading...,
απολογισμός,6,4.43,1.65,Loading...,
απόλυτο,6,4.43,1.65,Loading...,
απόμερος,6,4.43,1.65,Loading...,
αποξεραίνω,6,4.43,1.65,Loading...,
αποσυνδέω,6,4.43,1.65,Loading...,
αποτρέπω,6,4.43,1.65,Loading...,
απρόσιτος,6,4.43,1.65,недоступный,
απρόσμενος,6,4.43,1.65,Loading...,
αραιώνω,6,4.43,1.65,Loading...,
αργύριο,6,4.43,1.65,Loading...,
αριθμοσειρά,6,4.43,1.65,Loading...,
αρμένιος,6,4.43,1.65,Loading...,
αρτοποιός,6,4.43,1.65,Loading...,
αρχαιολογία,6,4.43,1.65,археология,
ασαφής,6,4.43,1.65,Loading...,
ασβεστόνερο,6,4.43,1.65,известковая вода,
αστέρας,6,4.43,1.65,Loading...,
αστρονομικός,6,4.43,1.65,Loading...,
αστυνόμος,6,4.43,1.65,полицейский,
ασύγκριτος,6,4.43,1.65,Loading...,
ασύλληπτος,6,4.43,1.65,Loading...,
άτιμος,6,4.43,1.65,Loading...,
ατρόμητος,6,4.43,1.65,Loading...,
άτυπος,6,4.43,1.65,Loading...,
άτυχος,6,4.43,1.65,Loading...,
αυλικός,6,4.43,1.65,Loading...,
αυλόπορτα,6,4.43,1.65,Loading...,
αυτοσχέδιος,6,4.43,1.65,Loading...,
αφεντιά,6,4.43,1.65,Loading...,
αφέτης,6,4.43,1.65,Loading...,
αψίδα,6,4.43,1.65,Loading...,
βαβυλώνα,6,4.43,1.65,Loading...,
βαβυλώνιος,6,4.43,1.65,Loading...,
βαθμιαία,6,4.43,1.65,Loading...,
βαίνω,6,4.43,1.65,Loading...,
βαρβάρα,6,4.43,1.65,Loading...,
βεντούζα,6,4.43,1.65,присоска,
βήχω,6,4.43,1.65,Loading...,
βίκος,6,4.43,1.65,Loading...,
βιολοντσέλο,6,4.43,1.65,Loading...,
βοή,6,4.43,1.65,рев,
βολβός,6,4.43,1.65,Loading...,
βολφράμιο,6,4.43,1.65,Loading...,
βορειοδυτικός,6,4.43,1.65,Loading...,
βοσκοτόπι,6,4.43,1.65,Loading...,
βουητό,6,4.43,1.65,Loading...,
βουκουρέστι,6,4.43,1.65,Loading...,
βουλγαρική,6,4.43,1.65,Loading...,
βουτηχτής,6,4.43,1.65,Loading...,
βραχνός,6,4.43,1.65,Loading...,
βρίζω,6,4.43,1.65,Loading...,
βρόγχος,6,4.43,1.65,Loading...,
γαλοπούλα,6,4.43,1.65,Loading...,
γαργαλώ,6,4.43,1.65,Loading...,
γαρίδα,6,4.43,1.65,Loading...,
γέννημα,6,4.43,1.65,Loading...,
γιαννάκης,6,4.43,1.65,Loading...,
γιγαντόσωμος,6,4.43,1.65,Loading...,
γίδα,6,4.43,1.65,Loading...,
γιουσούφ,6,4.43,1.65,Loading...,
γκάζι,6,4.43,1.65,Loading...,
γκρίνουϊτς,6,4.43,1.65,Loading...,
γνήσια,6,4.43,1.65,подлинный,
γολγοθάς,6,4.43,1.65,Голгофа,
γονιμότητα,6,4.43,1.65,Loading...,
γοργοπόταμος,6,4.43,1.65,Loading...,
γουτεμβέργιος,6,4.43,1.65,Loading...,
γραικός,6,4.43,1.65,Loading...,
γραφίστας,6,4.43,1.65,Loading...,
γύρη,6,4.43,1.65,Loading...,
γύψος,6,4.43,1.65,Loading...,
δασοπυροσβέστης,6,4.43,1.65,Loading...,
δαυλός,6,4.43,1.65,Loading...,
δειλιάζω,6,4.43,1.65,Loading...,
δεινός,6,4.43,1.65,Loading...,
δέος,6,4.43,1.65,Loading...,
δεσμεύω,6,4.43,1.65,Loading...,
δεσπόζω,6,4.43,1.65,Loading...,
δημοσιά,6,4.43,1.65,Loading...,
διακινδυνεύω,6,4.43,1.65,Loading...,
διακλαδίζω,6,4.43,1.65,Loading...,
διακριτικός,6,4.43,1.65,Loading...,
διαμερίζω,6,4.43,1.65,Loading...,
διάνοια,6,4.43,1.65,Loading...,
διασταυρώνω,6,4.43,1.65,Loading...,
διέλευση,6,4.43,1.65,Loading...,
δίζυγο,6,4.43,1.65,Loading...,
διηθώ,6,4.43,1.65,Loading...,
δίον,6,4.43,1.65,Loading...,
διπλόκαρφο,6,4.43,1.65,Loading...,
δισκέτα,6,4.43,1.65,Loading...,
δίφθογγος,6,4.43,1.65,Loading...,
δοκιμαστικός,6,4.43,1.65,Loading...,
δοκίμιο,6,4.43,1.65,Loading...,
δον,6,4.43,1.65,Loading...,
δούλα,6,4.43,1.65,Loading...,
δύομισι,6,4.43,1.65,Loading...,
δύσβατος,6,4.43,1.65,Loading...,
δωδεκαήμερο,6,4.43,1.65,Loading...,
εβδομαδιαίος,6,4.43,1.65,Loading...,
εγγράφω,6,4.43,1.65,Loading...,
έγκυρος,6,4.43,1.65,Loading...,
έι,6,4.43,1.65,Loading...,
ειρωνεία,6,4.43,1.65,Loading...,
εκάβη,6,4.43,1.65,Loading...,
εκκρίνω,6,4.43,1.65,Loading...,
έκλειψη,6,4.43,1.65,Loading...,
εκτίω,6,4.43,1.65,Loading...,
εκτοξεύω,6,4.43,1.65,Loading...,
ελασσόνα,6,4.43,1.65,Loading...,
ελεήμονας,6,4.43,1.65,Loading...,
ελονοσία,6,4.43,1.65,Loading...,
εμβολιασμός,6,4.43,1.65,вакцинация,
έμπορας,6,4.43,1.65,Loading...,
εναντιωματικός,6,4.43,1.65,противный,
ενδέκατος,6,4.43,1.65,Loading...,
ένδυμα,6,4.43,1.65,Loading...,
ένεση,6,4.43,1.65,Loading...,
ενήλικος,6,4.43,1.65,взрослый,
ένοχος,6,4.43,1.65,Loading...,
εντός,6,4.43,1.65,Loading...,
εξάδελφος,6,4.43,1.65,Loading...,
εξακριβώνω,6,4.43,1.65,Loading...,
εξόντωση,6,4.43,1.65,Loading...,
εξορία,6,4.43,1.65,Loading...,
εξόριστος,6,4.43,1.65,Loading...,
εξωγενής,6,4.43,1.65,Loading...,
εξώστης,6,4.43,1.65,Loading...,
επανέρχομαι,6,4.43,1.65,Loading...,
επιβίβαση,6,4.43,1.65,посадка,
επιδείχνω,6,4.43,1.65,Loading...,
επιδίδω,6,4.43,1.65,Loading...,
επιθετικότητα,6,4.43,1.65,Loading...,
επιθεώρηση,6,4.43,1.65,Loading...,
επικός,6,4.43,1.65,Loading...,
επιμελούμαι,6,4.43,1.65,Loading...,
επινόηση,6,4.43,1.65,изобретение,
επιπόλαιος,6,4.43,1.65,Loading...,
επιρρηματικός,6,4.43,1.65,Loading...,
επισκοπή,6,4.43,1.65,Loading...,
επιστρατεύω,6,4.43,1.65,Loading...,
επιταχύνω,6,4.43,1.65,Loading...,
επίτευξη,6,4.43,1.65,Loading...,
επιχορήγηση,6,4.43,1.65,Loading...,
ερασμία,6,4.43,1.65,Loading...,
εργατικότητα,6,4.43,1.65,Loading...,
ετερόφωτος,6,4.43,1.65,Loading...,
ευδοκιμώ,6,4.43,1.65,Loading...,
ευκαμψία,6,4.43,1.65,Loading...,
ευκλείδης,6,4.43,1.65,Loading...,
εύπορος,6,4.43,1.65,Loading...,
ευρετήριο,6,4.43,1.65,Loading...,
ευρύχωρος,6,4.43,1.65,Loading...,
ευρωβουλευτής,6,4.43,1.65,Loading...,
ευρωζώνη,6,4.43,1.65,Loading...,
ευφράτης,6,4.43,1.65,Loading...,
ευφυΐα,6,4.43,1.65,Loading...,
έφορος,6,4.43,1.65,куратор,
ζαβολιά,6,4.43,1.65,Loading...,
ζαγοροχώρι,6,4.43,1.65,Loading...,
ζαχαροπλάστης,6,4.43,1.65,Loading...,
ζήτηση,6,4.43,1.65,Loading...,
ζουλώ,6,4.43,1.65,Loading...,
ζύγιση,6,4.43,1.65,Loading...,
ζωοτροφή,6,4.43,1.65,Loading...,
ηλεκτροδότηση,6,4.43,1.65,Loading...,
ηλιογέννητος,6,4.43,1.65,Loading...,
ημαθία,6,4.43,1.65,Loading...,
ημίφως,6,4.43,1.65,Loading...,
ηχομόνωση,6,4.43,1.65,Loading...,
θάλαμος,6,4.43,1.65,Loading...,
θεριστής,6,4.43,1.65,Loading...,
θερμαϊκός,6,4.43,1.65,Loading...,
θέρος,6,4.43,1.65,Loading...,
θετός,6,4.43,1.65,Loading...,
θεωρητικός,6,4.43,1.65,Loading...,
θησαυροφυλάκιο,6,4.43,1.65,Loading...,
θίγω,6,4.43,1.65,Loading...,
θριαμβευτικός,6,4.43,1.65,Loading...,
θυρεός,6,4.43,1.65,Loading...,
ιδαίος,6,4.43,1.65,идеальный,
ιδεόγραμμα,6,4.43,1.65,Loading...,
ιδιόκλιτος,6,4.43,1.65,Loading...,
ιμπρεσιονιστής,6,4.43,1.65,Loading...,
ίος,6,4.43,1.65,Loading...,
ιππασία,6,4.43,1.65,верховая езда,
ισοπαλία,6,4.43,1.65,Loading...,
ισπανικός,6,4.43,1.65,Loading...,
ιχθυοκαλλιέργεια,6,4.43,1.65,Loading...,
ιχνηλάτης,6,4.43,1.65,Loading...,
ίωση,6,4.43,1.65,Loading...,
καθαρόαιμος,6,4.43,1.65,Loading...,
καθιστός,6,4.43,1.65,Loading...,
κάιρο,6,4.43,1.65,Loading...,
καίτη,6,4.43,1.65,Loading...,
κακομεταχειρίζω,6,4.43,1.65,Loading...,
καλόκαρδος,6,4.43,1.65,нежный сердцем,
καλοριφέρ,6,4.43,1.65,Loading...,
καναρινί,6,4.43,1.65,Loading...,
καπερναούμ,6,4.43,1.65,Капернаум,
καπνιστής,6,4.43,1.65,Loading...,
καραβάνι,6,4.43,1.65,Loading...,
καρφιτσώνω,6,4.43,1.65,Loading...,
κασκόλ,6,4.43,1.65,Loading...,
κασσάνδρα,6,4.43,1.65,Loading...,
καταδέχομαι,6,4.43,1.65,Loading...,
κατακαίω,6,4.43,1.65,Loading...,
κατακρίνω,6,4.43,1.65,порицать,
κατανυκτικός,6,4.43,1.65,Loading...,
καταπολέμηση,6,4.43,1.65,Loading...,
καταρράχτης,6,4.43,1.65,Loading...,
κατασκεύασμα,6,4.43,1.65,Loading...,
κατάχρηση,6,4.43,1.65,Loading...,
κατηχητικός,6,4.43,1.65,Loading...,
κάτοπτρο,6,4.43,1.65,Loading...,
κατσαρός,6,4.43,1.65,Loading...,
κάψιμο,6,4.43,1.65,Loading...,
κεραμεικός,6,4.43,1.65,Loading...,
κεφτές,6,4.43,1.65,Loading...,
κηρομπογιά,6,4.43,1.65,Loading...,
κηφήνας,6,4.43,1.65,Loading...,
κιάλι,6,4.43,1.65,Loading...,
κιθαριστής,6,4.43,1.65,Loading...,
κίκονες,6,4.43,1.65,Loading...,
κιτρινωπός,6,4.43,1.65,Loading...,
κλάβα,6,4.43,1.65,Loading...,
κλαρινέτο,6,4.43,1.65,Loading...,
κλοιός,6,4.43,1.65,Loading...,
κλώνος,6,4.43,1.65,Loading...,
κόλα,6,4.43,1.65,Loading...,
κόμη,6,4.43,1.65,Loading...,
κόπανος,6,4.43,1.65,Loading...,
κοπίδι,6,4.43,1.65,Loading...,
κοπτήρας,6,4.43,1.65,Loading...,
κόπωση,6,4.43,1.65,Loading...,
κόρνερ,6,4.43,1.65,Loading...,
κοροϊδευτικός,6,4.43,1.65,Loading...,
κουραμάνα,6,4.43,1.65,усталый,
κουρείο,6,4.43,1.65,Loading...,
κουρνιάζω,6,4.43,1.65,Loading...,
κούτσουρο,6,4.43,1.65,Loading...,
κρήνη,6,4.43,1.65,фонтан,
κρόταλο,6,4.43,1.65,Loading...,
κρούω,6,4.43,1.65,Loading...,
κρυστάλλινος,6,4.43,1.65,Loading...,
κρύσταλλο,6,4.43,1.65,Loading...,
κύθνος,6,4.43,1.65,Loading...,
κύκλωπας,6,4.43,1.65,Loading...,
κυνηγετικός,6,4.43,1.65,Loading...,
κυνόδοντας,6,4.43,1.65,Loading...,
κωπηλάτης,6,4.43,1.65,Loading...,
κως,6,4.43,1.65,Loading...,
λαβίδα,6,4.43,1.65,Loading...,
λαγκαδιά,6,4.43,1.65,Loading...,
λαδοπαστέλ,6,4.43,1.65,Loading...,
λαιστρυγόνας,6,4.43,1.65,Loading...,
λακεδαίμονας,6,4.43,1.65,Loading...,
λαμπαδηδρόμος,6,4.43,1.65,Loading...,
λαμπριάτικος,6,4.43,1.65,Ламбрийский,
λέβητας,6,4.43,1.65,котел,
λεπτοµερώς,6,4.43,1.65,Loading...,
λεπτοδείκτης,6,4.43,1.65,Loading...,
λουκιανός,6,4.43,1.65,Loading...,
λουλουδίζω,6,4.43,1.65,Loading...,
λωτοφάγος,6,4.43,1.65,Loading...,
μαγγελάνος,6,4.43,1.65,Loading...,
μάγια,6,4.43,1.65,колдовство,
μαίανδρος,6,4.43,1.65,Loading...,
μαίνομαι,6,4.43,1.65,ярость,
μακάριος,6,4.43,1.65,Loading...,
μανδύας,6,4.43,1.65,Loading...,
μανιάζω,6,4.43,1.65,Loading...,
μαραγκός,6,4.43,1.65,плотник,
μαρίνος,6,4.43,1.65,Loading...,
ματς,6,4.43,1.65,Loading...,
μαυρογένους,6,4.43,1.65,Loading...,
μελισσοκόμος,6,4.43,1.65,Loading...,
μενεξές,6,4.43,1.65,Loading...,
μερμήγκι,6,4.43,1.65,Loading...,
μεταβίβαση,6,4.43,1.65,Loading...,
μετάξι,6,4.43,1.65,Loading...,
μετροταινία,6,4.43,1.65,Loading...,
μετωπικός,6,4.43,1.65,Loading...,
μηνάς,6,4.43,1.65,Loading...,
μηχανική,6,4.43,1.65,Loading...,
μοκέτα,6,4.43,1.65,Loading...,
μόλυβδος,6,4.43,1.65,Loading...,
μονόγραμμα,6,4.43,1.65,Loading...,
μότσαρτ,6,4.43,1.65,Loading...,
μουσικοκινητικός,6,4.43,1.65,Loading...,
μόχθος,6,4.43,1.65,Loading...,
μπαινοβγαίνω,6,4.43,1.65,Loading...,
μπάιρον,6,4.43,1.65,Loading...,
μπαρμπαρούσα,6,4.43,1.65,Loading...,
μπαρούτι,6,4.43,1.65,Loading...,
μπαχαρικό,6,4.43,1.65,Loading...,
μπουζούκι,6,4.43,1.65,Loading...,
μπουφάν,6,4.43,1.65,Loading...,
νάνι,6,4.43,1.65,Loading...,
ναυαρχίδα,6,4.43,1.65,Loading...,
ναύπακτος,6,4.43,1.65,Loading...,
ναυσιπλοΐα,6,4.43,1.65,Loading...,
ναυτιλιακή,6,4.43,1.65,Loading...,
νεανικός,6,4.43,1.65,Loading...,
νεοφώτιστος,6,4.43,1.65,Loading...,
νερόμυλος,6,4.43,1.65,Loading...,
νεροσφυρίχτρα,6,4.43,1.65,Loading...,
νεφ,6,4.43,1.65,Loading...,
νηρηίδες,6,4.43,1.65,Loading...,
νηστεύω,6,4.43,1.65,быстрый,
νικηταράς,6,4.43,1.65,Loading...,
νικηφόρος,6,4.43,1.65,Loading...,
νοτιοδυτικός,6,4.43,1.65,Loading...,
ντουμπλάρω,6,4.43,1.65,Loading...,
νυμφαίο,6,4.43,1.65,нимфеум,
νωπός,6,4.43,1.65,Loading...,
